36,04613
36,04426
35,4708
28,70884
32,41908
37,06875
33,53126
33,70116
35,65534
34,23418
34,99254
37,11551
29,81441
27,78284
34,62575
30,85015
36,08488
24,68285
38,1584
37,38517
36,46397
34,11797
32,54764
37,72475
35,81739
34,71737
38,79525
36,00928
36,50657
32,86996
30,38027
37,27265
31,25727
33,38579
33,80676
37,88854
32,11457
36,57153
35,95455
29,93573
34,3774
33,72253
35,73761
32,101
32,8485
38,20696
34,61145
33,92669
36,36813
33,76817
35,51129
31,64401
32,85225
35,96428
28,44418
37,15204
34,42622
33,06176
37,52188
33,54782
32,18575
34,61034
31,71163
33,95724
37,47753
33,03601
33,81898
37,63567
26,99186
37,70855
34,82259
29,10867
31,60557
35,78443
35,31088
38,2253
28,82829
33,99342
35,54824
32,22338
30,00852
36,89716
34,92553
29,74437
36,00926
37,17564
34,64006
32,89766
39,32901
35,53196
32,6753
33,96705
32,95313
30,60682
28,60978
35,94336
31,30223
29,69575
31,38421
36,17897
32,84309
36,98691
31,24449
33,65026
34,35058
36,66106
30,71743
31,83786
32,44442
31,9348
32,38938
32,27592
31,04664
30,93714
31,64921
31,85291
37,12385
38,33958
31,33025
31,60201
24,81984
35,84661
27,96699
33,77694
31,57617
33,1552
38,83508
36,75331
36,47861
26,41411
33,57369
31,45437
28,0238
31,30644
33,00677
34,06846
31,40027
35,77318
33,97748
29,5867
30,35444
35,1138
37,71754
33,96278
34,47719
29,64682
36,38453
26,0652
34,12139
36,16248
32,61164
37,57292
35,0542
37,00219
34,66477
39,37549
33,36248
36,48507
35,64848
37,06263
28,29603
33,17888
37,60568
38,53464
32,11195
32,23872
35,07545
31,01008
36,3947
35,78431
37,71332
35,50518
38,33212
33,37767
34,263
34,52975
30,36108
34,59964
30,44782
31,969
27,8732
37,19702
32,57533
28,21228
38,317
31,36273
36,50165
36,47949
38,69581
33,88497
32,42599
36,33518
29,76094
35,51434
38,48545
37,12917
32,1509
29,70877
37,46651
35,1904
31,24245
33,82191
33,41422
32,8515
35,32069
36,04555
36,56896
26,65489
31,20568
34,96109
34,87652
35,13657
35,22599
32,43325
35,75587
34,79972
31,14388
34,49048
34,55669
37,12679
28,15388
30,21163
32,7346
32,35067
32,36025
32,12582
30,71412
32,7163
35,57299
37,48199
36,02929
31,5437
35,06385
36,97316
31,70935
30,13866
31,5689
34,86755
31,38497
35,71644
31,90841
35,81536
37,12088
36,69451
37,9734
29,13591
38,75835
29,41078
32,77398
34,0057
26,25815
34,79807
38,10057
33,15714
32,05711
33,62893
33,41297
34,82996
35,05276
32,31326
29,4928
25,48864
35,82444
35,98036
38,00348
32,86538
35,44923
36,85371
34,6208
36,27285
39,38928
31,40789
30,36401
37,92783
31,63361
32,4127
35,34473
28,53967
34,11717
33,91445
34,07337
28,66007
32,27135
38,67745
38,58668
39,03421
32,23588
36,03036
30,77086
32,83127
31,9404
32,21697
36,01463
33,79296
35,32653
28,51459
33,90766
37,49096
35,10843
35,71845
33,82782
32,95338
38,0209
34,73653
36,18502
30,73158
34,74231
31,90597
34,39363
37,32039
33,22207
35,08349
29,43172
32,78873
34,39183
35,11737
36,40879
30,57369
31,82149
30,14103
35,86595
33,69162
36,07771
34,49579
36,46999
36,51696
37,46165
36,9061
34,81133
30,98095
31,23612
32,29597
30,89966
32,01244
35,19954
31,53146
30,33089
36,42408
36,63464
29,5132
33,03367
31,83024
32,7725
36,13639
36,63277
35,29401
31,39209
31,99747
27,96773
32,98298
33,86296
33,03598
34,6702
33,54409
34,92708
33,02471
37,46254
35,72313
25,74069
26,74269
33,00875
30,64489
34,45074
32,15477
37,84344
38,02171
37,91357
35,8574
33,96642
35,12048
34,76585
32,35826
36,26871
33,33263
38,14859
30,60491
36,04821
35,31851
37,64527
32,18861
31,02634
30,47721
37,39258
35,43513
37,64026
32,16099
29,97567
38,7268
35,03756
38,31962
31,81951
30,10033
36,81782
35,19641
34,62275
27,91673
35,44532
36,10787
37,65728
31,94004
31,81309
32,20133
32,18726
35,66279
38,60952
37,01146
35,54039
34,31261
37,45968
34,29442
28,482
36,36141
20,46914
33,89214
34,28624
26,05848
28,37397
30,3173
30,48227
33,29801
36,44576
36,89043
38,79966
32,69728
34,48103
36,59215
23,16399
37,61584
38,22666
34,77393
